LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,trial_5.stopped,trial_6.started,image_11.started,image_12.started,polygon_7.started,trial_6.stopped,image_9.stopped,polygon_6.stopped,image_10.stopped,image_11.stopped,image_12.stopped,polygon_7.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_7,16,16,0,2.2,-2.2,-2.2,2.2,2.79999999999999,-2.79999999999999,2.79999999999999,-2.79999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,9.635900899999797,,,,9.622228999999606,9.635900899999797,9.635900899999797,9.635900899999797,9.921617499999229,9.921868299999915,9.935910399999557,9.935910399999557,9.935910399999557,10.23581969999941,10.23581969999941,10.23581969999941,10.221598599999197,9.935910399999557,9.935910399999557,9.935910399999557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,17,17,0,2.2,-2.2,-2.2,2.2,2.69999999999999,-2.69999999999999,2.69999999999999,-2.69999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,10.23581969999941,,,,10.221967599999516,10.23581969999941,10.23581969999941,10.23581969999941,10.52175459999944,10.52200619999985,10.535816999999952,10.535816999999952,10.535816999999952,10.835908899999595,10.835908899999595,10.835908899999595,10.821772599999349,10.535816999999952,10.535816999999952,10.535816999999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,18,18,0,2.2,-2.2,-2.2,2.2,2.59999999999999,-2.59999999999999,2.59999999999999,-2.59999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,10.835908899999595,,,,10.822139399999287,10.835908899999595,10.835908899999595,10.835908899999595,11.121746999999232,11.121999599999981,11.135842400000001,11.135842400000001,11.135842400000001,11.43567559999974,11.43567559999974,11.43567559999974,11.421728499999517,11.135842400000001,11.135842400000001,11.135842400000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,19,19,0,2.2,-2.2,-2.2,2.2,2.49999999999999,-2.49999999999999,2.49999999999999,-2.49999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,11.43567559999974,,,,11.42209559999992,11.43567559999974,11.43567559999974,11.43567559999974,11.721748699999807,11.722000999999182,11.735815499999262,11.735815499999262,11.735815499999262,12.035810699999274,12.035810699999274,12.035810699999274,12.021812499999214,11.735815499999262,11.735815499999262,11.735815499999262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,20,20,0,2.2,-2.2,-2.2,2.2,2.39999999999999,-2.39999999999999,2.39999999999999,-2.39999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,12.035810699999274,,,,12.022182599999724,12.035810699999274,12.035810699999274,12.035810699999274,12.321701999999277,12.321955199999138,12.335836799999925,12.335836799999925,12.335836799999925,12.635621599999467,12.635621599999467,12.635621599999467,12.621697999999924,12.335836799999925,12.335836799999925,12.335836799999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,21,21,0,2.2,-2.2,-2.2,2.2,2.29999999999999,-2.29999999999999,2.29999999999999,-2.29999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,12.635621599999467,,,,12.622070399999757,12.635621599999467,12.635621599999467,12.635621599999467,12.921735799999624,12.921985299999506,12.93561899999986,12.93561899999986,12.93561899999986,13.235655799999222,13.235655799999222,13.235655799999222,13.221775099999832,12.93561899999986,12.93561899999986,12.93561899999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,22,22,0,2.2,-2.2,-2.2,2.2,2.19999999999999,-2.19999999999999,2.19999999999999,-2.19999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,13.235655799999222,,,,13.22214619999977,13.235655799999222,13.235655799999222,13.235655799999222,13.521736599999713,13.521988799999235,13.535789799999293,13.535789799999293,13.535789799999293,13.835855199999969,13.835855199999969,13.835855199999969,13.821699899999658,13.535789799999293,13.535789799999293,13.535789799999293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,23,23,0,2.2,-2.2,-2.2,2.2,2.09999999999999,-2.09999999999999,2.09999999999999,-2.09999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,13.835855199999969,,,,13.822067099999913,13.835855199999969,13.835855199999969,13.835855199999969,14.121664499999497,14.121893499999715,14.13574079999944,14.13574079999944,14.13574079999944,14.435835699999188,14.435835699999188,14.435835699999188,14.421906599999602,14.13574079999944,14.13574079999944,14.13574079999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,24,24,0,2.2,-2.2,-2.2,2.2,1.99999999999999,-1.99999999999999,1.99999999999999,-1.99999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,14.435835699999188,,,,14.422273499999392,14.435835699999188,14.435835699999188,14.435835699999188,14.72157900000002,14.721835499999543,14.735829899999771,14.735829899999771,14.735829899999771,15.035665499999595,15.035665499999595,15.035665499999595,15.021573099999841,14.735829899999771,14.735829899999771,14.735829899999771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
Estimulo_7,25,25,0,2.2,-2.2,-2.2,2.2,1.89999999999999,-1.89999999999999,1.89999999999999,-1.89999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,15.035665499999595,,,,15.0219462999994,15.035665499999595,15.035665499999595,15.035665499999595,15.321752199999537,15.322005399999398,15.335859299999356,15.335859299999356,15.335859299999356,15.635813299999427,15.635813299999427,15.635813299999427,15.621784099999786,15.335859299999356,15.335859299999356,15.335859299999356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271328,001,2025-03-17_15h27.33.800,Estimulo_ICE,2024.2.4,59.94661154795698,2025-03-17 15h27.40.607101 -0300,
