LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,image.stopped,image_2.stopped,polygon.stopped,image_3.stopped,image_4.stopped,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_6,20,20,0,3.1,-3.1,3.1,-3.1,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,12.02585849998286,,,,12.012134700024035,12.02585849998286,12.02585849998286,12.02585849998286,12.315448399982415,12.315943800029345,12.326840599998832,12.326840599998832,12.326840599998832,12.62682499998482,12.62682499998482,12.62682499998482,12.61542530002771,12.326840599998832,12.326840599998832,12.326840599998832,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,21,21,0,3.2,-3.2,3.2,-3.2,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,12.62682499998482,,,,12.616174899972975,12.62682499998482,12.62682499998482,12.62682499998482,12.915374499978498,12.915891200012993,12.926781999995,12.926781999995,12.926781999995,13.226682799984701,13.226682799984701,13.226682799984701,13.214572100026999,12.926781999995,12.926781999995,12.926781999995,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,22,22,0,3.3,-3.3,3.3,-3.3,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,13.226682799984701,,,,13.215316099987831,13.226682799984701,13.226682799984701,13.226682799984701,13.515415799978655,13.515911999973468,13.526751999976113,13.526751999976113,13.526751999976113,13.826918400009163,13.826918400009163,13.826918400009163,13.815442599996459,13.526751999976113,13.526751999976113,13.526751999976113,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,23,23,0,3.4,-3.4,3.4,-3.4,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,13.826918400009163,,,,13.816187700023875,13.826918400009163,13.826918400009163,13.826918400009163,14.115321299992502,14.115839599980973,14.126898700022139,14.126898700022139,14.126898700022139,14.426963099977002,14.426963099977002,14.426963099977002,14.415421499987133,14.126898700022139,14.126898700022139,14.126898700022139,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,24,24,0,3.5,-3.5,3.5,-3.5,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,14.426963099977002,,,,14.416173000005074,14.426963099977002,14.426963099977002,14.426963099977002,14.715319700015243,14.715814399998635,14.726768900000025,14.726768900000025,14.726768900000025,15.026766899973154,15.026766899973154,15.026766899973154,15.015265900001395,14.726768900000025,14.726768900000025,14.726768900000025,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,25,25,0,3.6,-3.6,3.6,-3.6,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,15.026766899973154,,,,15.016016000008676,15.026766899973154,15.026766899973154,15.026766899973154,15.315505900012795,15.316023399995174,15.326857100008056,15.326857100008056,15.326857100008056,15.626861400029156,15.626861400029156,15.626861400029156,15.615342699980829,15.326857100008056,15.326857100008056,15.326857100008056,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,26,26,0,3.7,-3.7,3.7,-3.7,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,15.626861400029156,,,,15.616088300012052,15.626861400029156,15.626861400029156,15.626861400029156,15.915068299975246,15.915582199988421,15.926757299981546,15.926757299981546,15.926757299981546,,,,16.211462099978235,15.926757299981546,15.926757299981546,15.926757299981546,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,27,27,0,3.8,-3.8,3.8,-3.8,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,16.225802599976305,,,,16.21179769997252,16.225802599976305,16.225802599976305,16.225802599976305,16.51174919999903,16.51200119999703,16.525809600017965,16.525809600017965,16.525809600017965,16.82681679999223,16.82681679999223,16.82681679999223,16.815321900008712,16.525809600017965,16.525809600017965,16.525809600017965,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,28,28,0,3.9,-3.9,3.9,-3.9,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,16.82681679999223,,,,16.816068099986296,16.82681679999223,16.82681679999223,16.82681679999223,17.11519819998648,17.115716099971905,17.126843000005465,17.126843000005465,17.126843000005465,17.426851399999578,17.426851399999578,17.426851399999578,17.415923100023065,17.126843000005465,17.126843000005465,17.126843000005465,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,29,29,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,17.426851399999578,,,,17.416723700007424,17.426851399999578,17.426851399999578,17.426851399999578,17.715670400008094,17.716221100010443,17.72686860000249,17.72686860000249,17.72686860000249,18.02680400002282,18.02680400002282,18.02680400002282,18.015853599994443,17.72686860000249,17.72686860000249,17.72686860000249,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
