LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_6.keys,key_resp_7.keys,key_resp_4.keys,key_resp_5.keys,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,trial_5.stopped,loop_9.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,trial_6.stopped,loop_9.key_resp_7.keys,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,trial_3.stopped,loop_6.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,trial_4.stopped,loop_6.key_resp_5.keys,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_9,20,20,0,2.39999999999999,-2.39999999999999,2.39999999999999,-2.39999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,12.049527099999978,,,,12.035465399999794,12.049527099999978,12.049527099999978,12.049527099999978,12.049527099999978,12.334884599999896,None,12.335136699999566,12.349559799999952,12.349559799999952,12.349559799999952,12.349559799999952,12.635272799999711,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,21,21,0,2.29999999999999,-2.29999999999999,2.29999999999999,-2.29999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,12.649449499999719,,,,12.635631399999966,12.649449499999719,12.649449499999719,12.649449499999719,12.649449499999719,12.935015799999746,None,12.935269199999766,12.949446399999943,12.949446399999943,12.949446399999943,12.949446399999943,13.235071999999946,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,22,22,0,2.19999999999999,-2.19999999999999,2.19999999999999,-2.19999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,13.249604599999657,,,,13.235431799999787,13.249604599999657,13.249604599999657,13.249604599999657,13.249604599999657,13.538339299999734,None,13.538861799999722,13.550447299999632,13.550447299999632,13.550447299999632,13.550447299999632,13.838439999999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,23,23,0,2.09999999999999,-2.09999999999999,2.09999999999999,-2.09999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,13.850443099999666,,,,13.839172399999825,13.850443099999666,13.850443099999666,13.850443099999666,13.850443099999666,14.138278099999752,None,14.138793999999962,14.15030379999962,14.15030379999962,14.15030379999962,14.15030379999962,14.434946399999717,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,24,24,0,1.99999999999999,-1.99999999999999,1.99999999999999,-1.99999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,14.449465599999712,,,,14.43531079999957,14.449465599999712,14.449465599999712,14.449465599999712,14.449465599999712,14.735045799999625,None,14.735299399999803,14.749455899999703,14.749455899999703,14.749455899999703,14.749455899999703,15.034869399999934,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,25,25,0,1.89999999999999,-1.89999999999999,1.89999999999999,-1.89999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,15.049487399999634,,,,15.035230299999967,15.049487399999634,15.049487399999634,15.049487399999634,15.049487399999634,15.334870999999566,None,15.335124699999596,15.34945069999958,15.34945069999958,15.34945069999958,15.34945069999958,15.635029499999746,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,26,26,0,1.79999999999999,-1.79999999999999,1.79999999999999,-1.79999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,15.649240899999768,,,,15.63537419999966,15.649240899999768,15.649240899999768,15.649240899999768,15.649240899999768,15.935961699999552,None,15.93619439999975,15.94955869999967,15.94955869999967,15.94955869999967,15.94955869999967,16.234958899999583,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,27,27,0,1.69999999999999,-1.69999999999999,1.69999999999999,-1.69999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,16.24921949999998,,,,16.235302799999772,16.24921949999998,16.24921949999998,16.24921949999998,16.24921949999998,16.535153999999693,None,16.535384199999953,16.5495034999999,16.5495034999999,16.5495034999999,16.5495034999999,16.83488099999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,28,28,0,1.59999999999999,-1.59999999999999,1.59999999999999,-1.59999999999999,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,16.849482899999657,,,,16.835223999999926,16.849482899999657,16.849482899999657,16.849482899999657,16.849482899999657,17.134745999999723,None,17.134986899999603,17.14918899999975,17.14918899999975,17.14918899999975,17.14918899999975,17.435060099999646,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,29,29,0,1.49999999999999,-1.49999999999998,1.49999999999999,-1.49999999999998,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,17.44939999999997,,,,17.43540049999956,17.44939999999997,17.44939999999997,17.44939999999997,17.44939999999997,17.73500759999979,None,17.735259199999746,17.749380799999926,17.749380799999926,17.749380799999926,17.749380799999926,18.0349156999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
