LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_1,20,20,0,2.39999999999999,-2.39999999999999,2.39999999999999,-2.39999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,12.041264800000135,,,,12.0272930000001,12.041264800000135,12.041264800000135,12.041264800000135,12.32694679999986,12.327184300000226,12.341424300000654,12.341424300000654,12.341424300000654,12.626951100000042,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,21,21,0,2.29999999999999,-2.29999999999999,2.29999999999999,-2.29999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,12.641306600000462,,,,12.627291900000273,12.641306600000462,12.641306600000462,12.641306600000462,12.926928500000031,12.92716240000027,12.941105400000197,12.941105400000197,12.941105400000197,13.229833500000495,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,22,22,0,2.19999999999999,-2.19999999999999,2.19999999999999,-2.19999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,13.242368300000635,,,,13.230486100000235,13.242368300000635,13.242368300000635,13.242368300000635,13.529708699999901,13.53015460000006,13.542427000000316,13.542427000000316,13.542427000000316,13.830142900000283,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,23,23,0,2.09999999999999,-2.09999999999999,2.09999999999999,-2.09999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,13.842394400000558,,,,13.830848499999775,13.842394400000558,13.842394400000558,13.842394400000558,14.130185099999835,14.130672100000083,14.142328100000668,14.142328100000668,14.142328100000668,14.430246100000659,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,24,24,0,1.99999999999999,-1.99999999999999,1.99999999999999,-1.99999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,14.442221400000562,,,,14.430956600000172,14.442221400000562,14.442221400000562,14.442221400000562,14.730174000000261,14.73065940000015,14.742347899999913,14.742347899999913,14.742347899999913,15.030249200000071,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,25,25,0,1.89999999999999,-1.89999999999999,1.89999999999999,-1.89999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,15.042290800000046,,,,15.030967700000474,15.042290800000046,15.042290800000046,15.042290800000046,15.330613400000402,15.3310977000001,15.342402299999776,15.342402299999776,15.342402299999776,15.630242199999884,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,26,26,0,1.79999999999999,-1.79999999999999,1.79999999999999,-1.79999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,26,26,26,,,,,,,,,,,,,,,,,15.642200600000251,,,,15.6309454000002,15.642200600000251,15.642200600000251,15.642200600000251,15.93021790000057,15.930878600000142,15.942050700000436,15.942050700000436,15.942050700000436,16.227817200000572,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,27,27,0,1.69999999999999,-1.69999999999999,1.69999999999999,-1.69999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,27,27,27,,,,,,,,,,,,,,,,,16.241628200000378,,,,16.228269799999907,16.241628200000378,16.241628200000378,16.241628200000378,16.527804299999843,16.528115400000388,16.54164209999999,16.54164209999999,16.54164209999999,16.827717900000607,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,28,28,0,1.59999999999999,-1.59999999999999,1.59999999999999,-1.59999999999999,2.2,-2.2,-2.2,2.2,0,0,0,0,0,28,28,28,,,,,,,,,,,,,,,,,16.84163069999977,,,,16.828176400000302,16.84163069999977,16.84163069999977,16.84163069999977,17.127748700000666,17.1280555000003,17.14163439999993,17.14163439999993,17.14163439999993,17.426966600000014,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,29,29,0,1.49999999999999,-1.49999999999998,1.49999999999999,-1.49999999999998,2.2,-2.2,-2.2,2.2,0,0,0,0,0,29,29,29,,,,,,,,,,,,,,,,,17.441400100000465,,,,17.4273103000005,17.441400100000465,17.441400100000465,17.441400100000465,17.726707499999975,17.726922800000466,17.741392100000667,17.741392100000667,17.741392100000667,18.026736300000266,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,30,30,0,1.39999999999999,-1.39999999999998,1.39999999999999,-1.39999999999998,2.2,-2.2,-2.2,2.2,0,0,0,0,0,30,30,30,,,,,,,,,,,,,,,,,18.041327200000524,,,,18.027083300000413,18.041327200000524,18.041327200000524,18.041327200000524,18.32682290000048,18.32705850000002,18.341283000000658,18.341283000000658,18.341283000000658,18.62693450000006,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,31,31,0,1.29999999999999,-1.29999999999998,1.29999999999999,-1.29999999999998,2.2,-2.2,-2.2,2.2,0,0,0,0,0,31,31,31,,,,,,,,,,,,,,,,,18.64128080000046,,,,18.627277100000356,18.64128080000046,18.64128080000046,18.64128080000046,18.92687930000011,18.92711380000037,18.941140100000666,18.941140100000666,18.941140100000666,19.229643900000156,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,32,32,0,1.19999999999999,-1.19999999999998,1.19999999999999,-1.19999999999998,2.2,-2.2,-2.2,2.2,0,0,0,0,0,32,32,32,,,,,,,,,,,,,,,,,19.24215009999989,,,,19.230321600000025,19.24215009999989,19.24215009999989,19.24215009999989,19.52983409999979,19.53028489999997,19.542251900000338,19.542251900000338,19.542251900000338,19.829856100000143,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,33,33,0,1.09999999999999,-1.09999999999998,1.09999999999999,-1.09999999999998,2.2,-2.2,-2.2,2.2,0,0,0,0,0,33,33,33,,,,,,,,,,,,,,,,,19.84217820000049,,,,19.830512100000306,19.84217820000049,19.84217820000049,19.84217820000049,20.13232860000062,20.132772800000566,20.14190510000026,20.14190510000026,20.14190510000026,20.4295288000003,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,0,0,0,4.4,-4.4,4.4,-4.4,2.2,-2.2,-2.2,2.2,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,20.50754860000052,,,,,,,,,,,,,,20.490877700000055,20.50754860000052,20.50754860000052,20.50754860000052,20.715578899999855,20.716158799999903,20.726231700000426,20.726231700000426,20.726231700000426,21.02606780000042,21.02606780000042,21.02606780000042,21.01557810000031,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,1,1,0,4.3,-4.3,4.3,-4.3,2.2,-2.2,-2.2,2.2,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,1,21.02606780000042,,,,,,,,,,,,,,21.016481300000123,21.02606780000042,21.02606780000042,21.02606780000042,21.315620899999885,21.316256799999792,21.32606769999984,21.32606769999984,21.32606769999984,21.62627330000032,21.62627330000032,21.62627330000032,21.615624600000046,21.32606769999984,21.32606769999984,21.32606769999984,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,2,2,0,4.2,-4.2,4.2,-4.2,2.2,-2.2,-2.2,2.2,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,2,21.62627330000032,,,,,,,,,,,,,,21.616533899999922,21.62627330000032,21.62627330000032,21.62627330000032,21.91569900000013,21.916324100000566,21.926158500000383,21.926158500000383,21.926158500000383,22.225172600000406,22.225172600000406,22.225172600000406,22.21250349999991,21.926158500000383,21.926158500000383,21.926158500000383,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,3,3,0,4.1,-4.1,4.1,-4.1,2.2,-2.2,-2.2,2.2,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,3,22.225172600000406,,,,,,,,,,,,,,22.213085700000192,22.225172600000406,22.225172600000406,22.225172600000406,22.512539000000288,22.512938300000314,22.525152799999887,22.525152799999887,22.525152799999887,22.824683200000436,22.824683200000436,22.824683200000436,22.810485900000458,22.525152799999887,22.525152799999887,22.525152799999887,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
,4,4,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,,,,,,,,,,,,,,,,,,,,,0,4,4,4,22.824683200000436,,,,,,,,,,,,,,22.81085179999991,22.824683200000436,22.824683200000436,22.824683200000436,23.112451400000282,23.11285399999997,23.125128300000142,23.125128300000142,23.125128300000142,,,,,23.125128300000142,23.125128300000142,23.125128300000142,,,,,,,,
