LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,trial_4.stopped,image_7.stopped,image_8.stopped,polygon_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,image_3.stopped,image_4.stopped,polygon_2.stopped,image.stopped,image_2.stopped,polygon.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,trial_5.stopped,trial_6.started,image_11.started,image_12.started,polygon_7.started,trial_6.stopped,image_11.stopped,image_12.stopped,polygon_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_7,24,24,0,2.2,-2.2,-2.2,2.2,1.99999999999999,-1.99999999999999,1.99999999999999,-1.99999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,14.42829760001041,,,,14.414763200038578,14.42829760001041,14.42829760001041,14.42829760001041,14.71768170001451,14.718198200047482,14.729396700044163,14.729396700044163,14.729396700044163,15.017800700035878,15.029320000030566,15.029320000030566,15.029320000030566,14.729396700044163,14.729396700044163,14.729396700044163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,25,25,0,2.2,-2.2,-2.2,2.2,1.89999999999999,-1.89999999999999,1.89999999999999,-1.89999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,15.029320000030566,,,,15.018514800001867,15.029320000030566,15.029320000030566,15.029320000030566,15.317811599990819,15.318327200016938,15.329709200013895,15.329709200013895,15.329709200013895,15.617752299993299,15.629360500024632,15.629360500024632,15.629360500024632,15.329709200013895,15.329709200013895,15.329709200013895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,26,26,0,2.2,-2.2,-2.2,2.2,1.79999999999999,-1.79999999999999,1.79999999999999,-1.79999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,15.629360500024632,,,,15.618503000005148,15.629360500024632,15.629360500024632,15.629360500024632,15.91515850002179,15.915473800036125,15.928532099991571,15.928532099991571,15.928532099991571,16.2151250000461,16.22866600000998,16.22866600000998,16.22866600000998,15.928532099991571,15.928532099991571,15.928532099991571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,27,27,0,2.2,-2.2,-2.2,2.2,1.69999999999999,-1.69999999999999,1.69999999999999,-1.69999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,16.22866600000998,,,,16.21556550002424,16.22866600000998,16.22866600000998,16.22866600000998,16.51511279999977,16.51542980002705,16.52852220000932,16.52852220000932,16.52852220000932,16.81532980001066,16.828533000021707,16.828533000021707,16.828533000021707,16.52852220000932,16.52852220000932,16.52852220000932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,28,28,0,2.2,-2.2,-2.2,2.2,1.59999999999999,-1.59999999999999,1.59999999999999,-1.59999999999999,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,16.828533000021707,,,,16.81579070002772,16.828533000021707,16.828533000021707,16.828533000021707,17.114938000042457,17.11525229999097,17.12851990002673,17.12851990002673,17.12851990002673,17.415064800006803,17.42845920001855,17.42845920001855,17.42845920001855,17.12851990002673,17.12851990002673,17.12851990002673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,29,29,0,2.2,-2.2,-2.2,2.2,1.49999999999998,-1.49999999999998,1.49999999999998,-1.49999999999998,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,17.42845920001855,,,,17.41552010003943,17.42845920001855,17.42845920001855,17.42845920001855,17.71430680004414,17.71455000003334,17.728457599994726,17.728457599994726,17.728457599994726,18.01447170000756,18.028457000036724,18.028457000036724,18.028457000036724,17.728457599994726,17.728457599994726,17.728457599994726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,30,30,0,2.2,-2.2,-2.2,2.2,1.39999999999998,-1.39999999999998,1.39999999999998,-1.39999999999998,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,18.028457000036724,,,,18.014819100033492,18.028457000036724,18.028457000036724,18.028457000036724,18.31430339999497,18.314554500044324,18.32817590003833,18.32817590003833,18.32817590003833,18.614287000033073,18.628328200022224,18.628328200022224,18.628328200022224,18.32817590003833,18.32817590003833,18.32817590003833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,31,31,0,2.2,-2.2,-2.2,2.2,1.29999999999998,-1.29999999999998,1.29999999999998,-1.29999999999998,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,18.628328200022224,,,,18.61461720004445,18.628328200022224,18.628328200022224,18.628328200022224,18.914102900016587,18.914352699997835,18.928229700017255,18.928229700017255,18.928229700017255,19.214215600048192,19.228335299994797,19.228335299994797,19.228335299994797,18.928229700017255,18.928229700017255,18.928229700017255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,32,32,0,2.2,-2.2,-2.2,2.2,1.19999999999998,-1.19999999999998,1.19999999999998,-1.19999999999998,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,19.228335299994797,,,,19.21458160004113,19.228335299994797,19.228335299994797,19.228335299994797,19.5141143000219,19.514365700015333,19.528364400030114,19.528364400030114,19.528364400030114,19.814226599992253,19.828169500047807,19.828169500047807,19.828169500047807,19.528364400030114,19.528364400030114,19.528364400030114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
Estimulo_7,33,33,0,2.2,-2.2,-2.2,2.2,1.09999999999998,-1.09999999999998,1.09999999999998,-1.09999999999998,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,19.828169500047807,,,,19.8145913000335,19.828169500047807,19.828169500047807,19.828169500047807,20.114349200041033,20.11458950000815,20.128308700048365,20.128308700048365,20.128308700048365,20.414385900017805,20.494433200045023,20.494433200045023,20.494433200045023,20.128308700048365,20.128308700048365,20.128308700048365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352988,001,2025-03-20_15h54.10.886,Estimulo_ICE,2024.2.4,60.00034799069829,2025-03-20 15h54.16.261674 -0300,
